"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WP_008767322.1",0.555799453053644,0.543279071290217,2.4718289857075,0.219788292164038,0.82603603819629,NA
"WP_008767323.1",13.2318197923578,0.467094715110579,1.01992574033966,0.457969337017637,0.646974470929642,0.862930498288753
"WP_008767326.1",10.1298210533571,-0.181921061040596,1.05832737921756,-0.171894883013509,0.863520169473344,0.955910558259181
"WP_008767327.1",25.1713600190431,-0.220237515960603,0.866827826009758,-0.254072965071294,0.799439188937754,0.92623907312271
"WP_008767329.1",1.36579740157905,-1.04217455445502,1.81693061437793,-0.573590728345912,0.566244787341909,NA
"WP_008767330.1",1.16224215090598,0.107738507217227,2.17285929402705,0.0495837477895547,0.960454098085498,NA
"WP_008767342.1",5.61377929210973,0.73472053637217,1.34104209898028,0.5478728348132,0.583779222737005,0.828026170234944
"WP_008767349.1",6.14143757443175,1.85519433313581,1.23871359292592,1.49767819109317,0.134216880731757,0.423604582019828
"WP_008767356.1",3.86794178386497,1.51903095120698,1.74552484104557,0.870243101379801,NA,NA
"WP_008767358.1",1.09941394614199,1.26938415200964,1.95035076265167,0.650849158170812,0.515143863789065,NA
"WP_008767359.1",1.46327115030137,0.98071605152825,1.80005506192877,0.544825584655952,0.585873480587434,NA
"WP_008767360.1",2.48592753714478,0.522150616362497,1.67120315357969,0.312439941992725,0.754706199238132,NA
"WP_008767363.1",1.12600242701751,-0.364974240963928,1.85330510671423,-0.196931546587599,0.843881106447504,NA
"WP_008767364.1",1.26880581918425,0.79313048522321,1.86034219316867,0.426335804313664,0.669863171769444,NA
"WP_008767366.1",1.41633401713497,1.73742200649056,1.81875295108673,0.955282027420174,0.339435093786047,NA
"WP_008767367.1",1.098292760911,0.445347990745184,1.86461888619198,0.238841295689489,0.81122864739946,NA
"WP_008767369.1",4.1485707596655,1.52282887096107,1.53853240924856,0.989793170301065,0.322275223737161,NA
"WP_008767372.1",0.887057646155465,-0.153178386135433,2.00830232666578,-0.0762725731587149,0.939202245714946,NA
"WP_008767373.1",1.61630195281401,0.591163946361255,1.96890849998824,0.300249578060527,0.763986790688214,NA
"WP_008767375.1",2.7696841773718,0.145294891006899,1.62393358502031,0.0894709564154259,0.928707634415591,NA
"WP_008767376.1",12.6362346729943,1.60685090055293,1.06718926528937,1.50568502965332,0.132148048793578,0.421622133650876
"WP_008767382.1",5.6306976948899,0.72080820626733,1.29627013653435,0.556063266407148,0.578167605623539,0.825912994818241
"WP_008767385.1",6.70659314774421,1.94929281132036,1.25367529968672,1.55486258029289,0.119978800986588,0.399975358409833
"WP_008767386.1",7.39461585582894,1.25470359153411,1.18569324138819,1.05820253311483,0.289963116669746,0.6154015743533
"WP_008767392.1",27.4307562731873,-0.88069125012404,0.753201710229535,-1.16926347638756,0.242297493610152,0.568601629655562
"WP_008767407.1",1.89580056173362,0.818114986786077,1.70078188165832,0.481022872837983,0.630500242548806,NA
"WP_008767421.1",8.75927420754002,-0.289367106519517,1.16647931919873,-0.24806878420981,0.804081187437779,0.928220715545932
"WP_008767426.1",6.51980582486043,1.22296571123726,1.1973463525177,1.02139678186323,0.307066489414296,0.630901858037742
"WP_008767427.1",4.34977205770697,0.915244216646734,1.29523364096328,0.706624803202344,0.4797996710208,0.76460317143219
"WP_008767430.1",8.10029820739373,0.235425762251742,1.11249166406356,0.211620248363759,0.832403311174281,0.940068488290753
"WP_008767431.1",68.3042043629796,-0.0999492822103575,0.630947308773469,-0.158411456583679,0.87413258671596,0.959228069589446
"WP_008767432.1",10.3735577995213,-0.70245553227047,1.02255640770005,-0.6869601784125,0.49210782288224,0.77375151337741
"WP_008767433.1",63.1753178260717,0.745351917152988,0.734778948573014,1.01438931885638,0.310397018963733,0.635042488656733
"WP_008767434.1",6.62921510325446,-0.259417422164582,1.11325251225275,-0.233026576908084,0.815740768392842,0.933673061544722
"WP_008767435.1",0.531184080812847,-0.0932422448007452,2.79666549149434,-0.033340506787218,0.973403051957286,NA
"WP_008767436.1",2.89661986907879,2.19531435636861,1.45416077215235,1.50967788322281,0.131125637386618,NA
"WP_008767437.1",2.56058447701165,1.22916881538281,1.48693602708557,0.826645392264796,0.408438081191995,NA
"WP_008767438.1",1.88995246434597,1.9479724556832,1.59758654780661,1.2193220194284,0.222721994355068,NA
"WP_008767440.1",12.9512671884551,0.545913267321953,0.994249903344412,0.549070475627541,0.58295708582573,0.82778351419985
"WP_008767442.1",12.5210097906085,-0.874723057714602,1.01562754823158,-0.861263618969056,0.389092868137432,0.70230656635149
"WP_008767448.1",47.0089942712264,0.392429517645472,0.793607083654354,0.494488425983342,0.620961278315859,0.850957816121591
"WP_008767449.1",13.1430514758538,1.24235440907892,1.10082797062281,1.12856362868037,0.259081961092223,0.590063240003279
"WP_008767450.1",17.8459390806212,1.51581204324131,0.990819199000936,1.52985735921321,0.126052040024197,0.4098459707633
"WP_008767454.1",1.61303704348628,0.714253358787025,1.85181307064885,0.385704891118821,0.699715240037183,NA
"WP_008767455.1",0.780367604332289,-0.31726169894223,2.28687275291654,-0.138731679992957,0.889662183147386,NA
"WP_008767456.1",10.9193970702183,0.00887602063893444,0.982091802278962,0.00903787264931595,0.992788919121366,0.995732604739267
"WP_008767457.1",9.44751186251527,1.12499827792171,1.29044763943234,0.871789171094607,0.383323403240679,0.699264054000629
"WP_008767458.1",3.87988722758066,1.28029664162792,1.37965988238458,0.927979901405178,0.353417995339605,NA
"WP_008767460.1",9.26102229916826,3.24612828670528,1.1719472447485,2.76985871271184,0.00560806135233293,0.0688413293970699
"WP_008767465.1",2.81322578689945,1.75215292682523,1.37282214882089,1.27631458184889,0.201844337569815,NA
"WP_008767466.1",3.83502096498721,2.28681933613475,1.33831276460437,1.70873311277935,0.0875003975169303,NA
"WP_008767467.1",3.83927193411354,0.975776600587989,1.58062240326019,0.617336941811881,0.537012505154588,NA
"WP_008767469.1",15.5511519044964,-0.653928640260921,0.879222748951958,-0.743757643942233,0.457023108968185,0.753126249534035
"WP_008767482.1",113.83911402316,-1.3447288962682,0.705838948637443,-1.90514974961934,0.0567606080457528,0.277294235258931
"WP_008767492.1",14.6337144941728,0.936648872805832,1.01236530146075,0.925208392123211,0.354857519024703,0.678072252488203
"WP_008767505.1",30.8858964274445,2.33986452130009,0.968733268001411,2.41538573990285,0.0157185533032228,0.125445313827649
"WP_008767513.1",0,NA,NA,NA,NA,NA
"WP_008767514.1",0,NA,NA,NA,NA,NA
"WP_008767524.1",24.7982829158305,3.98290756072617,1.07947682567671,3.68966472089788,0.000224549796458886,0.00823444000432144
"WP_008767534.1",10.1517480390518,0.895220183701325,1.14631037731359,0.780957933748532,0.434827236415263,0.739257337966559
"WP_008767535.1",110.879605598772,5.50703780203195,1.08740552616729,5.06438276200626,4.09725691505387e-07,5.93487664145552e-05
"WP_008767536.1",13.6286966315343,2.00531542663083,1.06679895825017,1.87975007954646,0.0601421468669648,0.283765145722471
"WP_008767537.1",10.2472490393139,2.59756904768071,1.11781921533441,2.32378278351891,0.0201371389316884,0.144973236382154
"WP_008767538.1",20.7057619058859,1.48699118070074,0.984262232226988,1.51076728539739,0.130847752501761,0.42008195788202
"WP_008767539.1",126.799740040744,6.7189388682166,1.1112291393388,6.04640269981986,1.48115613125988e-09,6.12987044608553e-07
"WP_008767546.1",47.026076519647,0.0695515607526587,0.762620431659133,0.0912007571071031,0.927333073377755,0.977802691797289
"WP_008767547.1",129.80164868825,-0.181425716080651,0.69433537212522,-0.261294071084616,0.7938657383914,0.923255336860653
"WP_008767551.1",3.85078484918511,0.413107968313405,1.51213649688262,0.273194892898265,0.784703405591643,NA
"WP_008767552.1",3.24842690049475,3.18055334705649,1.38889641615676,2.28998599899728,0.0220221282904584,NA
"WP_008767553.1",7.16596210429876,2.69168931145982,1.2796565833657,2.10344661720119,0.0354267470693842,0.207755640202441
"WP_008767559.1",2.74472425991695,0.777558871217157,1.52030123798217,0.511450528218457,0.609035621432281,NA
"WP_008767560.1",24.1698529242266,1.35335741568164,0.939327986957088,1.44077195023837,0.149649120325303,0.443527060446504
"WP_008767561.1",17.9113241185772,1.00636990011749,0.910214159551118,1.10564078745358,0.268882028364121,0.597813688542485
"WP_008767565.1",27.8802634477994,0.919591251380747,0.843310014844003,1.09045456023768,0.275512959186223,0.600432414889027
"WP_008767570.1",43.0523131665043,0.550479805438775,0.799454126028592,0.688569597074151,0.491094159019251,0.77375151337741
"WP_008767578.1",2.97875690120034,0.7261733440218,1.41994470107361,0.511409594664316,0.609064277878443,NA
